,"['Ag0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Os0+', 'Os0+', 'Os0+', 'Os0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+', 'Cu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Y0+', 'Y0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Gd0+', 'Gd0+', 'Ge0+', 'Ge0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Ni0+', 'Ni0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Er0+', 'Er0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Li0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Lu0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Na0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Rb0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Tm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Yb0+']","['Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Pd0+']","['Al0+', 'B0+', 'B0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Ce0+', 'Ce0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'Ni0+', 'Ni0+']","['Li0+', 'Li0+', 'Li0+', 'Li0+', 'Li0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']"
0,2707.613034999999,288.9002706666667,-82.67387333333356,431.0857023333335,369.00229899999994,279.6826993333335,-102.3630473333336,-440.55206533333336,887.6047236666673,402.39774166666683,396.8152783333333,307.9160700000002,373.6854036666669,-1710.4661363333341,109.51585600000003,239.31205666666676,343.3496829999999,368.62738199999984,335.138809,474.5747926666666,558.7647446666665,434.57334633333335,1101.6409006666656,304.38066433333324,211.91298900000004,141.36150533333333,549.7325960000001,498.24261666666644,1295.1159969999992,381.08134433333333,531.5225053333334,624.2373473333333,446.085355,521.5664713333335,353.5290770000001,832.7427039999999,575.1932123333331,392.4782753333334,82.51466599999996,-183.8938499999998,490.6832869999999,371.9959896666664,531.4425609999997,230.40621766666678,255.02973900000015,532.0622966666668,319.934321,328.36706966666674,124.47331700000007,544.5161360000003,181.6152536666664,493.6239573333335,383.90998733333345,90.46107366666673,322.0046986666664,629.9413270000003,46.414921000000014,1653.6871463333327,456.00304566666665,1063.7874790000003,-2069.4817176666734,838.9723136666665,1267.1118673333326,513.2483190000002,427.6367276666668
1,1118.5002610000006,287.6934873333333,-93.13659766666665,419.9944583333335,359.38607600000006,279.9064183333335,-106.0633406666667,-316.3213556666669,699.5296079999997,402.6490750000001,355.6932853333333,574.5285233333334,374.8577560000001,-1922.3139993333334,194.68715566666665,171.71778399999997,363.22007433333334,363.3712753333332,333.86998666666676,491.64433600000007,347.47284700000006,433.8375790000002,1089.7542020000003,342.0402573333333,230.4866493333333,140.81534833333336,499.1545303333334,498.6858583333332,1288.8009886666655,380.9801303333332,573.4080230000003,,445.4111096666668,512.1221753333335,370.9151366666667,849.2189816666665,578.1056140000002,404.4735956666668,58.51979200000011,-155.29486100000017,487.12850000000003,226.9129966666666,508.43281166666657,263.5075436666667,225.85902633333342,891.0996396666666,427.4596510000003,98.2576926666668,496.624689333333,478.13220533333333,85.33681099999983,359.3264973333334,512.5510326666672,193.2316519999998,327.4660306666664,630.1073353333336,44.093201666666666,544.2780296666665,413.8879446666668,,-1503.670499,811.466633,1550.7702803333332,502.9172756666665,434.7711886666668
2,384.82149666666623,101.6155770000003,-99.37181666666645,424.43856666666653,366.48108400000007,427.2766260000001,,-332.91131900000005,794.62748,398.2439836666665,339.84615566666656,265.3469180000001,,-1819.7621866666668,172.01599266666662,235.08063333333334,347.2364300000001,368.56564933333317,334.47254600000025,474.20675666666676,389.93055566666663,391.9225446666667,1129.5154039999998,331.96838733333345,182.0860886666667,143.45512333333335,499.30834466666676,496.8959419999998,,501.519971,405.53029466666663,,,512.0629946666668,370.9632906666666,839.0156966666664,590.169594,368.4027980000001,32.29399699999993,-187.21082733333353,493.3752303333331,365.3818376666668,511.0826193333335,229.97193499999995,302.8850186666668,780.0170246666668,335.7607003333333,151.94804233333312,117.12826366666668,417.57387199999994,-153.8748676666669,401.7524159999998,447.0290073333342,162.0411859999999,-282.65946933333356,460.31453533333337,167.19884466666647,533.6951263333336,426.53211533333325,,-1905.7249986666623,,1383.554339333333,,427.6326469999999
3,,93.39092233333326,-78.1939506666668,422.4544443333334,373.82930100000004,291.14181833333333,,-391.74455499999993,865.8141636666666,402.21670066666684,407.6317073333334,602.0116006666666,,-1715.322370999999,161.42594599999998,241.18189466666664,,363.3212096666667,334.3087243333336,492.9653706666668,558.9151606666668,403.6021939999999,1159.9867063333336,342.3321383333334,166.18966966666673,138.98237600000004,500.93469666666687,499.44040200000035,,501.6437253333332,450.4874323333334,,,520.5300986666664,362.11041433333327,843.4933946666666,602.5908790000001,389.00261599999993,71.99526400000008,-163.21414600000003,495.251227333333,218.5605876666666,515.7133809999997,272.8013713333334,370.4618110000001,708.3403710000002,547.7034303333331,262.9744773333332,178.41958133333333,373.5386110000001,47.91320833333339,351.8540316666668,862.4227423333332,-1.394139666666926,-122.68594199999988,460.01195633333344,65.08685999999993,,438.4839806666664,,-1619.1722633333368,,1646.154451333333,,434.773643
4,,271.42815933333344,,398.12277133333305,1028.7816919999998,382.0876496666668,,,153.3125256666664,,,329.34617866666684,,-2001.982114333334,158.11241399999997,178.4988113333333,,,,,,408.71318266666657,1111.0511346666665,338.1040213333335,,,501.2752749999998,,,,,,,511.22856666666667,354.9097713333331,851.820281666667,569.2285096666666,,,-155.11993499999994,,371.99097133333333,,230.406531,269.98653766666683,919.6858620000004,437.42207533333317,64.53745000000005,433.3823596666666,428.5946186666665,215.75427600000043,183.09190266666678,914.8850776666668,-12.72232199999985,360.65732633333363,,55.40766533333331,,,,-1233.8362646666649,,,,
5,,215.22783800000005,,1212.2383903333332,49.27222733333284,810.0131770000002,,,315.19031133333357,,,616.8153046666665,,-1798.211772333333,168.5490756666668,253.08533266666657,,,,,,383.1532666666665,1119.1088849999999,,,,550.2789376666666,,,,,,,515.1941273333334,358.1976316666666,848.3361406666667,577.5953836666667,,,-168.77509133333308,,226.91696933333344,,263.50403999999986,255.02785633333338,147.80253633333328,639.5654013333336,,354.41332533333326,484.1614060000004,-270.38554099999993,416.1700069999999,280.2579173333335,128.8799489999997,146.41967999999994,,143.63257466666684,,,,-1674.365647666662,,,,
6,,270.5231800000001,,1174.8297089999999,1124.3246056666665,350.11549933333345,,,366.03983366666654,,,356.028435,,-1977.8924333333334,195.86239700000002,,,,,,,408.4019393333333,,,,,,,,,,,,,,843.4438376666667,589.357439333333,,,,,365.3726813333333,,229.97696333333332,225.85467666666662,542.9689930000001,45.96042866666679,,123.20467166666657,,-237.71626133333334,,-74.77215100000035,90.46452300000003,41.51581399999973,,,,,,-1549.3290826666635,,,,
7,,216.17595933333322,,777.5399860000002,149.13738966666793,811.9789523333335,,,203.84066033333337,,,625.4598649999999,,-1853.4085896666666,161.52902966666662,,,,,,,413.9588936666667,,,,,,,,,,,,,,843.914049666667,609.0441796666668,,,,,218.56843966666668,,272.7998570000001,302.8705766666667,6.45581966666676,-185.76878000000002,,496.2024680000001,,-396.34849800000023,,-476.21806166666664,193.2355593333333,-165.90926733333353,,,,,,-1423.6694530000004,,,,
8,,151.63790833333334,,743.0775633333334,3524.678936666667,427.7218149999999,,,663.2295010000001,,,,,-2134.6493093333347,191.16066800000002,,,,,,,403.57060199999995,,,,,,,,,,,,,,,,,,,,,,,370.47268766666656,50.91203166666617,532.8998776666666,,117.63767666666668,,-376.55226866666607,,-276.13093499999997,162.03268700000004,95.35603933333329,,,,,,-1741.2279936666653,,,,
9,,188.5626700000001,,584.667559666667,3228.364087333335,351.18126699999976,,,660.081854333333,,,,,-2020.0112296666668,140.5083659999999,,,,,,,383.71146699999986,,,,,,,,,,,,,,,,,,,,,,,269.98416566666623,340.08526200000034,499.40731999999963,,179.38227066666695,,106.25132600000025,,324.1705463333337,-1.3897213333332654,24.954623666666595,,,,,,-1813.1465033333345,,,,
10,,153.52365466666672,,569.6409490000001,1167.8759783333326,383.16332733333337,,,866.5567706666667,,,,,-1861.133252333333,104.5403083333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.1867290000004,487.58417000000003,,433.2205156666667,,36.446456333333266,,318.8506613333341,-12.731590333333429,282.57814033333335,,,,,,-1994.2136363333302,,,,
11,,185.9292916666667,,1085.8704740000005,836.8341486666658,296.3737876666667,,,847.8466886666666,,,,,-2118.757573666667,158.37392866666661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.1003743333337,-56.124239666666746,,353.79213833333347,,-431.70060766666694,,75.01470466666683,128.87492633333326,-58.02638700000015,,,,,,-1417.6572123333356,,,,
12,,,,110.40154399999976,2865.7662633333325,,,,861.6834790000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.9455600000001,,,,,,,,,,,,,,,,,,
13,,,,645.6563433333334,1185.0818923333338,,,,850.1774509999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.3451880000001,,,,,,,,,,,,,,,,,,
14,,,,598.9938703333333,-654.5202066666667,,,,646.0129693333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.8861976666668,,,,,,,,,,,,,,,,,,
15,,,,876.5825176666671,-84.0548793333334,,,,644.9247663333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.48854700000027,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.4150566666665,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.8929813333335,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.17902699999998,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2972463333333,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.31361600000005,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.34509799999995,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.1981156666664,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0280719999998,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.0210976666666,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.98551100000014,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.8069983333332,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.77119899999997,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.00206299999994,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.29765799999987,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.3303596666667,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.35832533333314,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.18138533333325,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0358443333333,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.001018,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.9618546666666,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.308954000000123,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0830309999999,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.09450400000014,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.3742956666667,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.78560233333354,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.08355033333342,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.34911633333326,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-245.3229843333332,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140.5815166666665,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-201.0750526666665,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.72183399999955,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.16030533333327,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8722086666669,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149.5521123333333,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250.45975866666708,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123.54993500000005,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.93443033333324,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.46207233333325,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.76184566666683,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.93800566666664,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.13015300000018,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.90010033333343,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3586700000001,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.17674766666666,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.58139633333339,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.46875133333333,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4051833333331,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.91762366666657,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.6157863333333,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.5371903333332,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.60829900000041,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.81180633333321,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.03523933333314,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.80399599999996,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.89538666666675,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.289891333333195,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18975866666665,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32973800000021,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.883196999999882,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.549826999999823,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.408601666666755,,,,,,,,,,,,,,,,,,
